"","No","SiteID","LON","LAT","BP","Age","GPP","BPE","reference","Forest_type","PFT","species","Tg","g_vpd","soilCN","f","lnvpd","lnCN","lnf","lnage","f_incoparate","lnf_incoparate"
"325",325,81,-122.524,37.862,850,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Grassland",NA,13.2802106956482,552.390382080082,8.83778219262696,1,6.31425501023237,2.1790359619861,0,NA,1,0
"326",326,82,-122.524,37.862,260,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Grassland",NA,13.2802106956482,552.390382080082,8.83778219262696,1,6.31425501023237,2.1790359619861,0,NA,1,0
"327",327,83,-122.5,44.7019,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,9.6055326311192,520.106641357425,12.8499999046326,1,6.25403387008305,2.55334380391964,0,NA,1,0
"328",328,84,-122.4967,44.6886,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,9.3568773911382,512.39885024805,12.8915799058914,1,6.2391033261638,2.55657437777934,0,NA,1,0
"329",329,85,-122.4966,42.5601,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.3933064138844,622.177576446288,12.3635634783707,1,6.43322554467282,2.51475371778852,0,NA,1,0
"330",330,86,-122.4955,44.6358,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,8.16270384144963,474.985204262701,12.9066999063491,1,6.16328365462887,2.55774654912557,0,NA,1,0
"331",331,87,-122.49,37.86,675,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Grassland",NA,13.489468943278,569.584185791017,8.78166992645263,1,6.34490659600276,2.17266658619663,0,NA,1,0
"332",332,88,-122.4755,42.6025,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,9.91055939986799,604.32127001953,12.7207312202454,1,6.40410596052987,2.54323304212807,0,NA,1,0
"333",333,89,-122.4507,44.644,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,7.99299609190086,470.793717567139,13.4711799234391,1,6.15442003113213,2.60055258298081,0,NA,1,0
"334",334,90,-122.4478,42.586,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.0798150774082,613.537998466796,12.8277999871063,1,6.41924219942413,2.55161468980932,0,NA,1,0
"335",335,91,-122.4414,42.5791,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.1267285631172,616.247567264649,12.8304064921798,1,6.42364877770554,2.5518178610703,0,NA,1,0
"336",336,92,-122.4367,42.6231,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,9.65400981841045,597.411851072508,13.1367257271881,1,6.39260674333635,2.57541179838163,0,NA,1,0
"337",337,93,-122.4212,44.7248,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.0009151361504,533.736419885753,13.8428799346924,1,6.27990212138216,2.62777101630906,0,NA,1,0
"338",338,94,-122.4062,42.5853,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,9.44416345076653,594.970008959961,13.1141035032425,1,6.38851099916594,2.57368825438634,0,NA,1,0
"339",339,95,-122.3909,44.7301,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,9.500342985835,518.611746089114,14.2246599462509,1,6.2511555224607,2.65497707436644,0,NA,1,0
"340",340,96,-122.33,44.25,890,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,7.28202687390152,465.946992492677,14.9919999694824,0.915068493150685,6.14407187763991,2.70751672346048,-0.0887563606057911,NA,0.912328767123288,-0.0917548636020477
"341",341,97,-122.2439,43.4364,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,7.09732227088002,518.058237361573,15.9649791688675,0.753424657534247,6.25008766327895,2.77039752136586,-0.28312625591592,NA,0.761643835616438,-0.272276239891854
"342",342,98,-122.2429,44.8285,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,7.15009968661875,449.486904578856,16,1,6.10810672018108,2.77258872223978,0,NA,1,0
